at_bats,hits,walks,strikeouts,game_id,team
32,8,2,5,360504128,MIA
33,8,7,11,360504130,LAD
34,10,2,10,360504130,TB
35,11,3,7,360504104,BOS
28,3,3,7,360504104,CHW
36,9,2,6,360504118,MIN
38,14,7,8,360504118,HOU
33,6,1,8,360504124,PHI
34,10,5,2,360504124,STL
32,5,0,6,360505124,PHI
28,7,4,4,360505124,STL
33,5,2,8,360505105,DET
38,16,3,7,360505105,CLE
32,4,1,8,360505101,NYY
32,7,2,8,360505101,BAL
35,9,1,7,360505114,TEX
36,15,6,0,360505114,TOR
34,10,1,6,360505117,MIL
33,9,3,10,360505117,CIN
31,5,1,9,360505128,ARI
33,9,2,7,360505128,MIA
28,3,4,6,360505116,WSH
31,8,2,11,360505116,CHC
35,12,7,7,360505104,BOS
32,8,9,8,360505104,CHW
37,12,4,8,360505118,SEA
32,8,4,7,360505118,HOU
31,4,2,5,360505125,NYM
33,11,2,7,360505125,SD
45,17,1,3,360505126,COL
40,16,2,7,360505126,SF
35,9,2,15,360506116,WSH
30,9,5,8,360506116,CHC
39,13,2,10,360506110,BOS
27,6,3,5,360506110,NYY
35,10,3,8,360506114,LAD
28,5,6,7,360506114,TOR
35,9,1,9,360506105,KC
30,9,7,5,360506105,CLE
37,10,1,2,360506106,TEX
29,2,2,11,360506106,DET
33,8,4,6,360506117,MIL
29,6,3,8,360506117,CIN
36,12,3,4,360506128,PHI
32,10,2,6,360506128,MIA
36,10,5,4,360506115,ARI
33,10,1,11,360506115,ATL
31,7,3,7,360506104,MIN
38,14,3,8,360506104,CHW
30,5,2,4,360506118,SEA
30,8,5,5,360506118,HOU
34,8,3,10,360506124,PIT
33,7,2,12,360506124,STL
33,11,4,6,360506103,TB
34,8,4,9,360506103,LAA
33,8,1,13,360506126,COL
33,9,3,4,360506126,SF
29,3,5,9,360506125,NYM
29,8,2,8,360506125,SD
31,6,0,8,360507110,BOS
32,11,4,7,360507110,NYY
39,15,5,6,360507201,OAK
35,7,4,8,360507201,BAL
33,7,2,5,360507114,LAD
33,9,0,12,360507114,TOR
35,10,1,4,360507106,TEX
